neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P_2,34,1,excitatory,23P,6,4,1.5,0.6666666666666666,-2.8953203554090408,-1.359917816906626,0.00014264485510012898,42062.50548460598,0.0639026180649609
exc_23P_2,35,2,excitatory,23P,5,4,1.25,0.4,-0.3585081672330702,1.1915982318110598,6.519903425464125e-05,76688.25247429291,0.1331650577917077
exc_23P_2,36,1,excitatory,23P,7,6,1.1666666666666667,0.2857142857142857,-1.6267362882392236,-0.6416562542571427,0.0002679348566974853,26125.753424846193,0.0500004077511353
exc_23P_2,37,2,excitatory,23P,26,18,1.4444444444444444,0.5,-0.9746811545391052,0.0814641170640661,0.00026184852301396207,99294.04871462134,0.1861384093877389
exc_23P_2,38,2,excitatory,23P,9,5,1.8,0.6666666666666666,2.038342181706261,1.312591278871296,0.0001088472032544873,82684.7151870112,0.161365167150063
exc_23P_2,39,1,excitatory,23P,8,7,1.1428571428571428,0.25,-0.4327626966517524,0.0266790392029009,0.00014892700890292666,53717.58997197443,0.1039860459551106
exc_23P_2,40,2,excitatory,23P,16,12,1.3333333333333333,0.4375,0.7621880866468634,0.7605056607578697,0.0001777680999245944,90004.89967990249,0.1825328235367486
exc_23P_2,41,1,excitatory,23P,11,10,1.1,0.18181818181818182,1.1253745614957236,-0.857793409463185,0.00023859664751438216,46102.91097797986,0.092198371883475
exc_23P_2,44,1,excitatory,23P,6,5,1.2,0.3333333333333333,1.7405461445488124,-1.082967236032304,0.00015178642609604284,39529.22638947636,0.0653270477313637
exc_23P_2,45,2,excitatory,23P,5,5,1.0,0.0,-0.1619077393732446,-0.3928525657562517,6.311644164720569e-05,79218.66108910089,0.1304503132884081
exc_23P_2,46,2,excitatory,23P,3,3,1.0,0.0,-0.0907721713256362,,5.07710486770665e-05,59088.79328220598,0.1200384556023192
exc_23P_2,47,0,excitatory,23P,4,3,1.3333333333333333,0.5,-0.3293486989584612,,0.00026744101762036046,14956.568874854136,0.026831335431304
exc_23P_2,48,1,excitatory,23P,6,3,2.0,1.0,-2.49352141725209,-0.4148249115628566,0.0003024580878612653,19837.459273868528,0.0356393492770555
exc_23P_2,49,1,excitatory,23P,10,7,1.4285714285714286,0.5,0.4558003550713361,-0.3847117517093912,0.0005171634730962558,19336.24573315288,0.0375115236299153
exc_23P_2,50,2,excitatory,23P,17,15,1.1333333333333333,0.23529411764705882,-2.2792227610798643,-0.8637594780160923,0.0002069545881687713,82143.6246010478,0.1564771198463244
exc_23P_2,51,2,excitatory,23P,14,13,1.0769230769230769,0.14285714285714285,0.7455310886540183,1.3169523796812936,0.00016703050257630786,83817.02613631365,0.1643824095980384
exc_23P_2,52,2,excitatory,23P,10,9,1.1111111111111112,0.2,0.9280870422620874,-0.8957333448017727,0.00012537908198678537,79758.12106403822,0.1624490783581334
