neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,regime_name,order_regime,kmeans_regime,is_bpc
exc_23P,864691135848859998,excitatory,23P,75,4,891.65625,93123.48302632256,0.1708130744226104,85463.61946051495,21,2,19,0.0952380952380952,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,76,3,978.8571428571428,8981.242952695406,0.0157230724253197,28276.51655665946,2,0,2,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,77,3,1123.3333333333333,1477.653739787415,0.0024147878473862,24524.72195020546,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,78,4,835.8507462686567,97891.8471691893,0.1854568092635998,79748.86263936978,29,5,24,0.1724137931034483,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,79,4,992.2222222222222,23881.49553384097,0.0415257679566348,42743.68682169561,8,2,6,0.25,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,80,4,956.9333333333332,20820.14523980457,0.0368640919553546,43177.210652909445,7,1,6,0.1428571428571428,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,81,4,823.8823529411765,47931.56598852656,0.0914638851717644,56732.92102727044,7,2,5,0.2857142857142857,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,82,8,901.2903225806452,44797.78840020013,0.081730630162765,184377.47268078945,2,0,2,0.0,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,83,8,912.8333333333334,33273.891817214586,0.0603209930146543,178615.52438929665,1,0,1,0.0,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,84,5,810.6785714285714,81530.95886442182,0.1568407211762688,94352.76270502264,12,5,7,0.4166666666666667,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,85,5,808.2608695652174,31180.620071411508,0.0600716551215065,69177.59330851748,5,1,4,0.2,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,86,9,676.7777777777778,52081.56498031184,0.1096532752072514,232817.1493710454,2,1,1,0.5,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,87,9,588.5142857142857,48922.97243857982,0.1104574361361574,231237.8531001794,4,2,2,0.5,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,88,3,839.9240506329114,116416.8149243763,0.2200170472574879,82756.05795347125,22,6,16,0.2727272727272727,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,89,3,857.52,71367.45795566161,0.1334869242238837,60231.379469113905,23,1,22,0.0434782608695652,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,90,2,1540.4,5243.187821784118,0.0073171050088057,15814.440457411123,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,91,2,411.0,14841.036629256956,0.0400962681182951,20613.364861147544,0,0,0,,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,92,2,349.0,11612.336331988396,0.0340461117135681,18999.01471251326,0,0,0,,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,93,3,1040.2857142857142,19342.614277929817,0.0328472852109459,28107.34150726809,9,0,9,0.0,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,94,3,1306.8,12158.047490859462,0.0184212840770597,24515.058113732914,6,0,6,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,95,3,1333.888888888889,24848.92520569469,0.0372656249452258,30860.496971150525,2,0,2,0.0,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,96,3,915.5882352941176,98666.7148371269,0.1785998928119802,67769.39178686663,12,1,11,0.0833333333333333,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,97,3,1167.2727272727273,13631.033245498302,0.0218526059778474,25251.550991052332,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,98,3,1266.8,12776.950218268234,0.0196622766649843,24824.5094774373,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,99,3,1274.8,12776.934027788018,0.0196004594794822,24824.50138219719,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,100,3,1201.5555555555557,11266.636536872447,0.0178025815396122,24069.352636739408,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,101,3,1222.0,10936.786790666598,0.0171362097819284,23904.42776363648,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,102,3,1243.428571428571,8246.451623224124,0.0128090618228441,22559.260179915243,0,0,0,,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,103,2,991.818181818182,14995.47696014856,0.0260798373498043,22275.75025432862,7,1,6,0.1428571428571428,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,104,2,1071.5,9007.883306057412,0.0150725693611183,19281.95342728305,2,0,2,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,105,4,881.012987012987,113583.78772773327,0.2095973654061132,94570.54251009964,20,5,15,0.25,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,106,4,884.3030303030303,95652.480778646,0.176179879584047,85604.889035556,19,7,12,0.3684210526315789,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,107,3,1029.9130434782608,33083.38649907875,0.056463826536592,46315.181983942275,11,4,7,0.3636363636363636,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,108,3,1043.3793103448277,39521.9583171804,0.0670159182758254,49534.4678929931,19,1,18,0.0526315789473684,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,109,4,863.28,110333.7451445993,0.2056805133717771,85760.9544314623,29,4,25,0.1379310344827586,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,110,4,1106.0,45319.68342989241,0.0746397079463198,53253.92357410885,19,1,18,0.0526315789473684,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,111,4,860.5970149253732,98769.22311882852,0.1844090996514285,112241.48679289591,10,0,10,0.0,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,112,4,834.5833333333334,68785.99069326882,0.1304144668225927,97249.87058011604,16,2,14,0.125,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,113,5,797.6744186046511,61614.14559095785,0.1194890822757769,85491.50738409502,12,6,6,0.5,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,114,5,727.7777777777778,50816.64248536022,0.1031732709513117,80092.7558312962,11,3,8,0.2727272727272727,1,nonlinear-prone,1,0,False
exc_23P,864691135848859998,excitatory,23P,115,4,793.8636363636364,63884.2646913741,0.1241885548120895,101237.57939727035,16,6,10,0.375,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,116,4,752.0,63166.124632562976,0.1261641424052109,100878.5093678648,9,4,5,0.4444444444444444,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,117,2,1132.0,12030.006776378836,0.0195840850219679,21878.12605657411,5,0,5,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,118,2,899.2444444444444,131521.2406954154,0.2402246906269438,81623.7430160924,24,2,22,0.0833333333333333,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,119,3,875.1325301204819,120324.30901115626,0.2227804566887669,88055.28395034166,21,6,15,0.2857142857142857,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,120,3,1012.1052631578948,26128.71352704618,0.0449848019767884,40957.48620828662,9,2,7,0.2222222222222222,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,121,2,1024.6666666666667,7511.562068274646,0.0128528542679594,40054.13592787644,4,1,3,0.25,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,122,2,1004.2608695652174,66105.76414155812,0.1142553872527637,69351.23696451818,7,0,7,0.0,1,nonlinear-prone,0,2,False
exc_23P,864691135848859998,excitatory,23P,123,3,898.3116883116883,113966.34918742956,0.2082685715552927,100793.09155572856,12,2,10,0.1666666666666666,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,124,3,891.1636363636363,78467.08433741683,0.1439691413177963,83043.45913072219,15,3,12,0.2,2,compartmentalized,0,2,False
exc_23P,864691135848859998,excitatory,23P,125,4,829.04,72686.76718305457,0.138270087727949,90365.226563337,9,5,4,0.5555555555555556,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,126,4,790.64,71817.21179068324,0.1398942216868244,89930.44886715132,14,3,11,0.2142857142857142,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,127,4,833.4347826086956,66361.15065911895,0.1259037670651085,106089.13515745186,7,1,6,0.1428571428571428,2,compartmentalized,1,2,False
exc_23P,864691135848859998,excitatory,23P,128,4,823.4,56861.523902022,0.1085359696954523,101339.3217789034,8,0,8,0.0,1,nonlinear-prone,1,2,False
exc_23P,864691135848859998,excitatory,23P,129,7,1074.3333333333333,25522.24103049378,0.0426491036177106,125757.58011903072,1,0,1,0.0,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,130,7,831.8125,91825.16199892006,0.1743851942158237,158909.04060324386,4,1,3,0.25,2,compartmentalized,2,2,False
exc_23P,864691135848859998,excitatory,23P,131,7,798.1632653061224,70062.56810477132,0.1358315984650712,148027.74365616948,3,0,3,0.0,2,compartmentalized,2,2,False
exc_23P_2,864691135866483845,excitatory,23P,0,0,2438.3636363636365,21123.473472259655,0.0234302393160204,10561.736736129827,18,8,10,0.4444444444444444,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,1,1,2608.8571428571427,19749.09909772009,0.0211778938510003,9874.549548860045,7,0,7,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,2,1,6929.0,15886.521582775758,0.0104533180372628,7943.260791387879,5,0,5,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,3,1,6718.0,12057.794159795563,0.0080576517492268,6028.897079897782,4,3,1,0.75,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,4,1,2323.5,21558.749893057862,0.0244969977989931,10779.374946528931,5,0,5,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,5,1,936.0,143896.42562217414,0.2576159267728696,71948.21281108707,43,10,33,0.2325581395348837,2,compartmentalized,0,2,False
exc_23P_2,864691135866483845,excitatory,23P,6,1,1511.4,40304.48025921746,0.056783772699008,20152.24012960873,16,1,15,0.0625,1,nonlinear-prone,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,7,1,2528.5,21824.87119352972,0.0237728274222359,10912.43559676486,17,4,13,0.2352941176470588,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,8,1,1660.0,4501.400345445569,0.0060513771811973,23374.17364498244,0,0,0,,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,9,1,1025.3846153846157,16764.448626298155,0.0286752031330078,29505.69778540873,3,0,3,0.0,1,nonlinear-prone,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,10,2,1668.0,7547.241223444503,0.0101216388048118,29398.494429427472,5,0,5,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,11,2,884.9230769230769,16806.15639669936,0.0309439868417194,34027.9520160549,3,0,3,0.0,1,nonlinear-prone,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,12,4,695.2666666666667,87766.90671671942,0.1823121930975373,83306.70697097885,20,4,16,0.2,2,compartmentalized,1,2,False
exc_23P_2,864691135866483845,excitatory,23P,13,4,886.5714285714286,7648.719740267387,0.0140699485649869,43247.61348275283,1,0,1,0.0,0,summation-like,1,0,False
exc_23P_2,864691135866483845,excitatory,23P,14,3,1520.8,6025.591275272786,0.0084629981304082,36184.91067878612,5,0,5,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,15,3,1146.5,9170.231938782585,0.014833851193852,37757.231010541014,1,0,1,0.0,0,summation-like,0,0,False
exc_23P_2,864691135866483845,excitatory,23P,16,4,1420.1666666666667,16593.76233644905,0.024117697049077,47494.58748464704,8,1,7,0.125,0,summation-like,1,0,False
exc_23P_2,864691135866483845,excitatory,23P,17,4,825.4857142857143,101730.8768756409,0.1939360895328068,90063.14475424297,16,1,15,0.0625,2,compartmentalized,1,2,False
exc_23P_2,864691135866483845,excitatory,23P,18,5,804.3333333333334,7515.0725057677155,0.0145136206930111,70827.06773388972,2,0,2,0.0,0,summation-like,1,0,False
exc_23P_2,864691135866483845,excitatory,23P,19,5,627.3333333333334,1630.7023417522155,0.0035660394229567,67884.88265188197,0,0,0,,0,summation-like,1,0,False
exc_23P_2,864691135866483845,excitatory,23P,20,8,481.2307692307692,17455.28240134558,0.0435823669452992,204370.70760322543,1,0,1,0.0,1,nonlinear-prone,2,0,False
exc_23P_2,864691135866483845,excitatory,23P,21,8,1002.6666666666666,1982.5157970134876,0.003429248799666,196634.32430105945,1,1,0,1.0,0,summation-like,2,0,False
